,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003218251794446,3.920673504042548,4.15567859606663,3.5276146461770432,3.9202956876122865,4.142693208349627,2.6558248001719345,4.06625958298444,4.0104317873874935,3.8052279397338857,3.5362305097876776,3.5602677787918298,4.960088172293553,3.999346735552296,3.2661697182218523,3.8863226573424523,2.38149936860353,3.1538370709010293,4.11940602699273,3.4072360200693605,4.011812999288631,3.6090479343003183,3.48185722376915,3.7984044145534916,3.797074920388152,3.9845725411039012,3.330178134179731,3.9905350848862753,3.457180639700191,3.108904987450893,2.7239133743230424,3.3566635718845785,3.0398971052813724,4.570580760178892
2,4.970693757710852,4.967971877359674,4.445328606300765,3.903818256930643,4.831192257509519,4.706619546201779,3.394191803119437,4.698890384480462,4.531684229697135,4.837420985342816,3.963040058160499,4.065933326816296,4.77690128268668,4.0128945711555755,3.998509615696281,4.217629251398842,2.5284541276128136,3.5431112257007116,4.199367517359031,4.398595049751554,4.993942683349324,4.573801885340459,3.8222980822448234,4.73223694426328,4.314287983497812,4.4942517451080635,4.4146608228317605,4.163615011396593,3.462460011735873,4.388845578416645,2.9943131693581364,4.3469777114569315,4.013449121678634,3.99941184312516
3,4.017217386800482,3.985701290700585,4.955709512327194,4.088388824643825,4.5286031213392945,4.271111410459501,2.8186366253973443,4.3378293175839975,4.491395048491735,4.367745706064045,3.72431564615926,3.532353426036203,4.964903171928883,4.196698726704245,3.443428033210864,3.6208923106145194,2.752476452185216,3.4212831353119735,4.216563067703833,3.50318743529541,4.4401468365450025,3.010929933718326,3.0160192187754378,3.8630419080967617,4.080677743457128,4.31697559527261,3.8793430003382094,4.474720590222938,3.2057088923045303,3.238387076472594,2.233655924191925,2.5914892229677924,3.4450115611175693,4.599443178569105
4,4.991065093743886,4.987245881399962,4.928960015911239,4.961955844141752,5.010573825482518,4.961600328246247,3.9451363250198064,5.076029793858636,4.951873147561179,5.017208610008948,4.511433467985644,3.8220756509198677,5.0003580315407605,4.204325487763457,3.5828718460090574,4.371586987810475,3.126797979866348,3.5419992479959186,4.341218811123397,3.9825494661391407,4.722443147295632,4.59164403556624,3.598317992980814,4.979612196595545,4.062755589332325,4.741872801863178,4.503058690136275,4.906675008307845,3.116533255575835,3.4128444486025082,2.00849522340232,4.2235623388485655,4.171680259871794,4.644349660222145
5,4.9806173748761315,4.240523642671216,5.461157552859603,4.37380158548969,5.162426663852282,4.555463731753269,3.1497721923116395,4.638132568624837,4.9820659583118765,4.918882911156665,4.143321497919161,4.106461883098122,4.971510250945316,4.67634308588446,3.295151155392579,4.269561957481473,3.023896509012784,3.4374454311192935,4.969742367325113,3.3908958914075957,3.9950554631531285,3.489434954049958,3.1089884230296194,4.431757328741366,4.506986261441793,4.7232685584699965,3.737375724515079,5.073001193961097,3.017239679105417,3.6101786761335855,2.9962647743192625,2.031800412914027,4.980754835646073,4.987312808471381
6,4.970673948036672,4.964532427452558,4.168334872434208,3.877234614100329,4.507032785562426,4.541632092506475,3.5554719686601373,4.70785078704993,4.286728851055276,4.62367805675575,3.884564875830112,3.7873814083477604,4.322374773583896,3.631611809703073,3.9073683503489516,4.099763286761133,2.544977197535548,3.0856458423536504,3.7355594788129127,4.184301650151619,4.888324965619114,4.815005725011619,3.9067828290812856,4.847450623702553,4.0164291264884335,4.218013812371261,4.734067303679459,3.8375138588606803,3.4754333151181593,3.8109195511743263,2.010721718641297,4.979288076349951,4.001692559141585,3.0166571601239256
7,4.978862557164016,4.18431097967291,4.220205526971191,2.0411001057342952,4.145493071915148,4.238216775862707,2.827576428782001,4.041028779850858,4.00096832637273,4.11503382461581,3.3287001062785486,4.967687616207217,4.9885793899002175,4.912913250257279,4.039881209457485,4.983459588467613,2.115875042236757,2.9400732537326393,4.261080175151912,4.52391424796326,4.6196189888296875,4.9959431523789615,4.981598114491926,4.693440068697085,4.547502923031678,3.9878428091927662,3.7973427912187923,3.66740702232186,5.167190700328191,4.447594393984687,4.2811033473454465,4.5185025576417415,4.5801431313952445,4.002953664922351
8,4.033174260904256,4.6105886430988345,4.988328610410712,4.093155249674282,4.812379018248384,4.380051879447045,3.4547750240816777,4.45668427052033,4.892766615757093,5.002088952585605,4.26075839700155,4.029704724796756,4.413996564066328,4.984764242119001,3.4823102334273974,4.047815947825408,3.3002697260193856,4.05605568844778,3.6633377492427592,3.938573229118087,5.037912908949433,3.6353000624737137,3.001188708164811,4.480502717552861,4.2674726233781275,4.697488809397171,4.961247173467898,4.964603401039078,3.400795985430895,3.473149381022411,2.098626154130391,3.1538583758604157,3.7950045776330272,4.454687140530786
9,4.985845408376695,4.63982635804642,4.999147123281979,4.143205509493461,4.872378361093829,4.6680237688002295,3.408042904243927,4.796522547943909,4.769047573889503,4.763526910807217,4.352480334675298,4.289322972191855,4.999025776071333,4.86745666988241,3.3623930766953642,4.97779137267297,2.9755706328749203,3.4521046763371355,4.364031381059723,3.5881864097964917,4.5956799890378885,4.565752403141694,3.97245573378296,4.753994236146951,4.421029338832019,4.7433458550720635,4.053801765512716,4.974981334182632,3.998282211494698,3.4460847346171426,2.6120766284018146,3.7340206930515443,4.461465449044475,4.890080812474077
10,4.009606855458107,3.985256436678744,4.000590892149615,2.5248533189864686,3.9246608630440707,4.251444808194797,2.7783437119191166,4.01830362098534,4.007705049191747,3.9033479615936497,2.511229179793126,4.01163396657261,4.990411417901112,3.019538321836785,4.95084552104671,3.549073984047919,2.9478145019767426,2.7963808190034762,4.521874182451346,5.088201403873645,3.9786947251820433,4.001600886719541,4.960478433435026,4.037032272561434,3.645299293856744,3.5721392672818237,3.8980280761425092,3.2065623854173855,4.997886324760615,5.330707330744484,2.9676235172413277,4.6617303443426374,3.2994149498972076,4.022622977173526
